BreedID,Type,BreedName,,,,,Breed1,Breed2,,,Breed
88,1,English Springer Spaniel,,,,,189,307,,,
89,1,English Toy Spaniel,,,,,307,0,,,
90,1,Entlebucher,,,,,307,76,,,
91,1,Eskimo Dog,,,,,307,0,,,
92,1,Feist,,,,,266,266,,,
93,1,Field Spaniel,,,,,307,307,,,
94,1,Fila Brasileiro,,,,,266,0,,,
95,1,Finnish Lapphund,,,,,266,0,,,
96,1,Finnish Spitz,,,,,307,0,,,
97,1,Flat-coated Retriever,,,,,285,0,,,
98,1,Fox Terrier,,,,,207,169,,,
99,1,Foxhound,,,,,307,0,,,
100,1,French Bulldog,,,,,265,0,,,
101,1,Galgo Spanish Greyhound,,,,,264,0,,,
102,1,German Pinscher,,,,,119,307,,,
103,1,German Shepherd Dog,,,,,195,0,,,
104,1,German Shorthaired Pointer,,,,,307,307,,,
105,1,German Spitz,,,,,266,0,,,
106,1,German Wirehaired Pointer,,,,,265,0,,,
107,1,Giant Schnauzer,,,,,266,266,,,
108,1,Glen of Imaal Terrier,,,,,307,0,,,
109,1,Golden Retriever,,,,,266,0,,,
110,1,Gordon Setter,,,,,307,0,,,
111,1,Great Dane,,,,,307,307,,,
112,1,Great Pyrenees,,,,,299,0,,,
113,1,Greater Swiss Mountain Dog,,,,,266,306,,,
114,1,Greyhound,,,,,307,0,,,
115,1,Harrier,,,,,307,0,,,
116,1,Havanese,,,,,265,0,,,
117,1,Hound,,,,,109,0,,,
118,1,Hovawart,,,,,266,0,,,
119,1,Husky,,,,,285,0,,,
120,1,Ibizan Hound,,,,,266,0,,,
121,1,Illyrian Sheepdog,,,,,307,0,,,
122,1,Irish Setter,,,,,189,0,,,
123,1,Irish Terrier,,,,,206,0,,,
124,1,Irish Water Spaniel,,,,,266,0,,,
125,1,Irish Wolfhound,,,,,307,307,,,
126,1,Italian Greyhound,,,,,265,0,,,
127,1,Italian Spinone,,,,,70,18,,,
128,1,Jack Russell Terrier,,,,,103,307,,,
129,1,Jack Russell Terrier (Parson Russell Terrier),,,,,307,0,,,
130,1,Japanese Chin,,,,,307,0,,,
131,1,Jindo,,,,,307,0,,,
132,1,Kai Dog,,,,,266,0,,,
133,1,Karelian Bear Dog,,,,,265,0,,,
134,1,Keeshond,,,,,292,266,,,
135,1,Kerry Blue Terrier,,,,,303,266,,,
136,1,Kishu,,,,,307,307,,,
137,1,Klee Kai,,,,,78,307,,,
138,1,Komondor,,,,,265,0,,,
139,1,Kuvasz,,,,,307,36,,,
140,1,Kyi Leo,,,,,307,0,,,
141,1,Labrador Retriever,,,,,254,303,,,
142,1,Lakeland Terrier,,,,,264,0,,,
143,1,Lancashire Heeler,,,,,265,0,,,
144,1,Leonberger,,,,,10,0,,,
145,1,Lhasa Apso,,,,,265,247,,,
146,1,Lowchen,,,,,20,195,,,
147,1,Maltese,,,,,307,0,,,
148,1,Manchester Terrier,,,,,266,0,,,
149,1,Maremma Sheepdog,,,,,266,0,,,
150,1,Mastiff,,,,,307,307,,,
151,1,McNab,,,,,307,0,,,
152,1,Miniature Pinscher,,,,,305,0,,,
153,1,Mountain Cur,,,,,285,292,,,
154,1,Mountain Dog,,,,,266,0,,,
155,1,Munsterlander,,,,,307,0,,,
156,1,Neapolitan Mastiff,,,,,78,0,,,
157,1,New Guinea Singing Dog,,,,,307,0,,,
158,1,Newfoundland Dog,,,,,307,0,,,
159,1,Norfolk Terrier,,,,,78,0,,,
160,1,Norwegian Buhund,,,,,265,0,,,
161,1,Norwegian Elkhound,,,,,283,0,,,
162,1,Norwegian Lundehund,,,,,307,0,,,
163,1,Norwich Terrier,,,,,307,0,,,
164,1,Nova Scotia Duck-Tolling Retriever,,,,,307,0,,,
165,1,Old English Sheepdog,,,,,307,307,,,
166,1,Otterhound,,,,,306,0,,,
167,1,Papillon,,,,,307,0,,,
168,1,Patterdale Terrier (Fell Terrier),,,,,307,0,,,
169,1,Pekingese,,,,,307,0,,,
170,1,Peruvian Inca Orchid,,,,,266,0,,,
171,1,Petit Basset Griffon Vendeen,,,,,292,252,,,
172,1,Pharaoh Hound,,,,,307,0,,,
173,1,Pit Bull Terrier,,,,,266,0,,,
174,1,Plott Hound,,,,,307,0,,,
175,1,Podengo Portugueso,,,,,307,0,,,
176,1,Pointer,,,,,299,0,,,
177,1,Polish Lowland Sheepdog,,,,,266,0,,,
178,1,Pomeranian,,,,,266,264,,,
179,1,Poodle,,,,,307,141,,,
180,1,Portuguese Water Dog,,,,,307,307,,,
181,1,Presa Canario,,,,,307,0,,,
182,1,Pug,,,,,266,0,,,
183,1,Puli,,,,,266,254,,,
184,1,Pumi,,,,,307,0,,,
185,1,Rat Terrier,,,,,266,266,,,
186,1,Redbone Coonhound,,,,,20,0,,,
187,1,Retriever,,,,,307,0,,,
188,1,Rhodesian Ridgeback,,,,,307,0,,,
189,1,Rottweiler,,,,,299,0,,,
190,1,Saint Bernard,,,,,307,0,,,
191,1,Saluki,,,,,307,0,,,
192,1,Samoyed,,,,,307,0,,,
193,1,Sarplaninac,,,,,307,0,,,
194,1,Schipperke,,,,,307,0,,,
195,1,Schnauzer,,,,,307,0,,,
196,1,Scottish Deerhound,,,,,307,0,,,
197,1,Scottish Terrier Scottie,,,,,307,0,,,
198,1,Sealyham Terrier,,,,,266,0,,,
199,1,Setter,,,,,205,147,,,
200,1,Shar Pei,,,,,266,0,,,
201,1,Sheep Dog,,,,,265,0,,,
202,1,Shepherd,,,,,205,178,,,
203,1,Shetland Sheepdog Sheltie,,,,,266,0,,,
204,1,Shiba Inu,,,,,307,0,,,
205,1,Shih Tzu,,,,,307,0,,,
206,1,Siberian Husky,,,,,266,0,,,
207,1,Silky Terrier,,,,,307,307,,,
208,1,Skye Terrier,,,,,266,0,,,
209,1,Sloughi,,,,,307,0,,,
210,1,Smooth Fox Terrier,,,,,307,0,,,
211,1,South Russian Ovtcharka,,,,,266,0,,,
212,1,Spaniel,,,,,109,307,,,
213,1,Spitz,,,,,266,0,,,
214,1,Staffordshire Bull Terrier,,,,,266,0,,,
215,1,Standard Poodle,,,,,266,254,,,
216,1,Sussex Spaniel,,,,,292,299,,,
217,1,Swedish Vallhund,,,,,307,141,,,
218,1,Terrier,,,,,266,0,,,
219,1,Thai Ridgeback,,,,,307,0,,,
220,1,Tibetan Mastiff,,,,,307,0,,,
221,1,Tibetan Spaniel,,,,,307,0,,,
222,1,Tibetan Terrier,,,,,265,0,,,
223,1,Tosa Inu,,,,,307,0,,,
224,1,Toy Fox Terrier,,,,,266,0,,,
225,1,Treeing Walker Coonhound,,,,,307,0,,,
226,1,Vizsla,,,,,288,285,,,
227,1,Weimaraner,,,,,307,141,,,
228,1,Welsh Corgi,,,,,307,0,,,
229,1,Welsh Springer Spaniel,,,,,266,0,,,
230,1,Welsh Terrier,,,,,307,0,,,
231,1,West Highland White Terrier Westie,,,,,307,0,,,
232,1,Wheaten Terrier,,,,,266,0,,,
233,1,Whippet,,,,,307,0,,,
234,1,White German Shepherd,,,,,266,0,,,
235,1,Wire Fox Terrier,,,,,307,0,,,
236,1,Wire-haired Pointing Griffon,,,,,69,4,,,
237,1,Wirehaired Terrier,,,,,307,0,,,
238,1,Xoloitzcuintle/Mexican Hairless,,,,,266,0,,,
239,1,Yellow Labrador Retriever,,,,,205,0,,,
240,1,Yorkshire Terrier Yorkie,,,,,179,179,,,
307,1,Mixed Breed,,,,,218,205,,,
241,2,Abyssinian,,,,,31,307,,,
242,2,American Curl,,,,,266,265,,,
243,2,American Shorthair,,,,,265,0,,,
244,2,American Wirehair,,,,,285,265,,,
245,2,Applehead Siamese,,,,,266,0,,,
246,2,Balinese,,,,,141,0,,,
247,2,Bengal,,,,,307,0,,,
248,2,Birman,,,,,266,0,,,
249,2,Bobtail,,,,,128,307,,,
250,2,Bombay,,,,,307,0,,,
251,2,British Shorthair,,,,,307,0,,,
252,2,Burmese,,,,,307,307,,,
253,2,Burmilla,,,,,266,0,,,
254,2,Calico,,,,,299,0,,,
255,2,Canadian Hairless,,,,,265,0,,,
256,2,Chartreux,,,,,299,0,,,
257,2,Chausie,,,,,266,299,,,
258,2,Chinchilla,,,,,307,0,,,
259,2,Cornish Rex,,,,,20,307,,,
260,2,Cymric,,,,,307,0,,,
261,2,Devon Rex,,,,,266,0,,,
262,2,Dilute Calico,,,,,266,0,,,
263,2,Dilute Tortoiseshell,,,,,307,307,,,
264,2,Domestic Long Hair,,,,,247,0,,,
265,2,Domestic Medium Hair,,,,,266,300,,,
266,2,Domestic Short Hair,,,,,70,307,,,
267,2,Egyptian Mau,,,,,266,0,,,
268,2,Exotic Shorthair,,,,,307,0,,,
269,2,Extra-Toes Cat (Hemingway Polydactyl),,,,,265,265,,,
270,2,Havana,,,,,266,0,,,
271,2,Himalayan,,,,,307,0,,,
272,2,Japanese Bobtail,,,,,307,119,,,
273,2,Javanese,,,,,266,0,,,
274,2,Korat,,,,,292,0,,,
275,2,LaPerm,,,,,307,307,,,
276,2,Maine Coon,,,,,307,307,,,
277,2,Manx,,,,,307,307,,,
278,2,Munchkin,,,,,307,0,,,
279,2,Nebelung,,,,,307,103,,,
280,2,Norwegian Forest Cat,,,,,307,0,,,
281,2,Ocicat,,,,,307,0,,,
282,2,Oriental Long Hair,,,,,264,0,,,
283,2,Oriental Short Hair,,,,,307,0,,,
284,2,Oriental Tabby,,,,,307,0,,,
285,2,Persian,,,,,20,0,,,
286,2,Pixie-Bob,,,,,200,307,,,
287,2,Ragamuffin,,,,,307,0,,,
288,2,Ragdoll,,,,,213,0,,,
289,2,Russian Blue,,,,,265,0,,,
290,2,Scottish Fold,,,,,292,0,,,
291,2,Selkirk Rex,,,,,265,266,,,
292,2,Siamese,,,,,247,266,,,
293,2,Siberian,,,,,307,218,,,
294,2,Silver,,,,,307,0,,,
295,2,Singapura,,,,,265,0,,,
296,2,Snowshoe,,,,,307,0,,,
297,2,Somali,,,,,307,0,,,
298,2,Sphynx (hairless cat),,,,,266,0,,,
299,2,Tabby,,,,,307,0,,,
300,2,Tiger,,,,,307,307,,,
301,2,Tonkinese,,,,,248,264,,,
302,2,Torbie,,,,,26,307,,,
303,2,Tortoiseshell,,,,,307,0,,,
304,2,Turkish Angora,,,,,307,0,,,
305,2,Turkish Van,,,,,266,0,,,
306,2,Tuxedo,,,,,307,0,,,
,,,,,,,265,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,20,0,,,
,,,,,,,265,0,,,
,,,,,,,266,0,,,
,,,,,,,213,218,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,265,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,205,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,265,0,,,
,,,,,,,307,307,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,307,,,
,,,,,,,266,266,,,
,,,,,,,307,0,,,
,,,,,,,265,0,,,
,,,,,,,307,307,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,205,0,,,
,,,,,,,218,218,,,
,,,,,,,307,307,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,179,0,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,179,0,,,
,,,,,,,264,0,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,141,307,,,
,,,,,,,195,0,,,
,,,,,,,307,307,,,
,,,,,,,307,0,,,
,,,,,,,266,264,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,265,0,,,
,,,,,,,307,307,,,
,,,,,,,264,0,,,
,,,,,,,266,0,,,
,,,,,,,265,0,,,
,,,,,,,299,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,307,307,,,
,,,,,,,205,0,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,307,307,,,
,,,,,,,243,0,,,
,,,,,,,264,0,,,
,,,,,,,266,0,,,
,,,,,,,307,307,,,
,,,,,,,266,0,,,
,,,,,,,307,307,,,
,,,,,,,307,111,,,
,,,,,,,307,0,,,
,,,,,,,247,265,,,
,,,,,,,78,213,,,
,,,,,,,205,0,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,25,25,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,307,109,,,
,,,,,,,0,26,,,
,,,,,,,307,0,,,
,,,,,,,129,307,,,
,,,,,,,195,0,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,307,307,,,
,,,,,,,266,0,,,
,,,,,,,141,109,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,265,0,,,
,,,,,,,109,0,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,307,307,,,
,,,,,,,266,0,,,
,,,,,,,266,303,,,
,,,,,,,265,0,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,307,307,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,202,307,,,
,,,,,,,266,266,,,
,,,,,,,307,0,,,
,,,,,,,213,307,,,
,,,,,,,307,307,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,299,0,,,
,,,,,,,266,0,,,
,,,,,,,264,278,,,
,,,,,,,299,0,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,103,0,,,
,,,,,,,265,0,,,
,,,,,,,307,0,,,
,,,,,,,299,0,,,
,,,,,,,265,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,189,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,299,0,,,
,,,,,,,218,307,,,
,,,,,,,285,264,,,
,,,,,,,307,0,,,
,,,,,,,72,72,,,
,,,,,,,265,265,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,173,307,,,
,,,,,,,307,307,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,24,70,,,
,,,,,,,307,0,,,
,,,,,,,266,299,,,
,,,,,,,265,0,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,299,0,,,
,,,,,,,307,307,,,
,,,,,,,307,176,,,
,,,,,,,307,0,,,
,,,,,,,284,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,200,307,,,
,,,,,,,266,0,,,
,,,,,,,195,0,,,
,,,,,,,307,307,,,
,,,,,,,266,0,,,
,,,,,,,179,0,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,119,307,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,179,,,
,,,,,,,307,0,,,
,,,,,,,286,299,,,
,,,,,,,307,0,,,
,,,,,,,307,307,,,
,,,,,,,195,0,,,
,,,,,,,307,307,,,
,,,,,,,264,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,179,0,,,
,,,,,,,266,0,,,
,,,,,,,128,0,,,
,,,,,,,285,0,,,
,,,,,,,20,0,,,
,,,,,,,266,0,,,
,,,,,,,243,0,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,307,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,285,299,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,266,285,,,
,,,,,,,152,218,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,264,264,,,
,,,,,,,307,307,,,
,,,,,,,109,0,,,
,,,,,,,265,0,,,
,,,,,,,218,0,,,
,,,,,,,266,0,,,
,,,,,,,292,265,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,307,307,,,
,,,,,,,277,0,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,307,,,
,,,,,,,141,307,,,
,,,,,,,307,0,,,
,,,,,,,265,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,285,292,,,
,,,,,,,307,307,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,307,152,,,
,,,,,,,266,0,,,
,,,,,,,307,307,,,
,,,,,,,307,0,,,
,,,,,,,152,0,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,44,307,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,264,0,,,
,,,,,,,307,0,,,
,,,,,,,265,0,,,
,,,,,,,247,0,,,
,,,,,,,265,0,,,
,,,,,,,218,307,,,
,,,,,,,266,0,,,
,,,,,,,299,0,,,
,,,,,,,307,0,,,
,,,,,,,247,265,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,75,228,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,266,265,,,
,,,,,,,266,266,,,
,,,,,,,265,283,,,
,,,,,,,307,0,,,
,,,,,,,265,0,,,
,,,,,,,189,307,,,
,,,,,,,307,0,,,
,,,,,,,299,0,,,
,,,,,,,307,0,,,
,,,,,,,247,265,,,
,,,,,,,218,307,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,292,299,,,
,,,,,,,266,266,,,
,,,,,,,266,0,,,
,,,,,,,307,307,,,
,,,,,,,307,0,,,
,,,,,,,285,266,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,264,265,,,
,,,,,,,264,266,,,
,,,,,,,299,0,,,
,,,,,,,141,307,,,
,,,,,,,64,307,,,
,,,,,,,109,0,,,
,,,,,,,299,0,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,264,0,,,
,,,,,,,307,307,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,285,264,,,
,,,,,,,75,0,,,
,,,,,,,266,0,,,
,,,,,,,266,299,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,265,0,,,
,,,,,,,292,252,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,266,265,,,
,,,,,,,307,218,,,
,,,,,,,307,0,,,
,,,,,,,243,266,,,
,,,,,,,307,307,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,205,307,,,
,,,,,,,266,0,,,
,,,,,,,265,0,,,
,,,,,,,307,0,,,
,,,,,,,277,0,,,
,,,,,,,307,307,,,
,,,,,,,299,0,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,265,266,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,20,0,,,
,,,,,,,307,0,,,
,,,,,,,109,189,,,
,,,,,,,307,0,,,
,,,,,,,265,0,,,
,,,,,,,292,264,,,
,,,,,,,307,0,,,
,,,,,,,307,307,,,
,,,,,,,103,307,,,
,,,,,,,141,0,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,307,,,
,,,,,,,266,0,,,
,,,,,,,60,128,,,
,,,,,,,78,141,,,
,,,,,,,266,303,,,
,,,,,,,266,0,,,
,,,,,,,307,195,,,
,,,,,,,266,0,,,
,,,,,,,109,109,,,
,,,,,,,296,266,,,
,,,,,,,266,266,,,
,,,,,,,266,0,,,
,,,,,,,264,265,,,
,,,,,,,243,0,,,
,,,,,,,307,213,,,
,,,,,,,265,0,,,
,,,,,,,307,307,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,185,0,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,109,307,,,
,,,,,,,265,266,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,266,266,,,
,,,,,,,300,251,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,307,,,
,,,,,,,266,0,,,
,,,,,,,277,260,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,265,265,,,
,,,,,,,266,0,,,
,,,,,,,265,0,,,
,,,,,,,205,0,,,
,,,,,,,266,0,,,
,,,,,,,218,0,,,
,,,,,,,265,306,,,
,,,,,,,299,0,,,
,,,,,,,307,152,,,
,,,,,,,266,266,,,
,,,,,,,266,0,,,
,,,,,,,299,0,,,
,,,,,,,266,265,,,
,,,,,,,307,0,,,
,,,,,,,265,248,,,
,,,,,,,299,266,,,
,,,,,,,292,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,265,299,,,
,,,,,,,299,0,,,
,,,,,,,307,218,,,
,,,,,,,60,0,,,
,,,,,,,264,0,,,
,,,,,,,292,295,,,
,,,,,,,307,70,,,
,,,,,,,307,0,,,
,,,,,,,265,0,,,
,,,,,,,266,303,,,
,,,,,,,265,0,,,
,,,,,,,307,307,,,
,,,,,,,307,0,,,
,,,,,,,300,0,,,
,,,,,,,265,0,,,
,,,,,,,195,0,,,
,,,,,,,307,141,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,76,76,,,
,,,,,,,266,0,,,
,,,,,,,307,307,,,
,,,,,,,307,109,,,
,,,,,,,266,0,,,
,,,,,,,285,0,,,
,,,,,,,307,307,,,
,,,,,,,307,0,,,
,,,,,,,266,266,,,
,,,,,,,307,0,,,
,,,,,,,20,0,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,195,0,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,205,0,,,
,,,,,,,265,0,,,
,,,,,,,266,0,,,
,,,,,,,265,265,,,
,,,,,,,139,119,,,
,,,,,,,307,0,,,
,,,,,,,307,0,,,
,,,,,,,179,0,,,
,,,,,,,266,0,,,
,,,,,,,266,0,,,
,,,,,,,266,266,,,
,,,,,,,307,307,,,
,,,,,,,299,0,,,
,,,,,,,266,0,,,
,,,,,,,266,266,,,
,,,,,,,265,299,,,
,,,,,,,307,0,,,
,,,,,,,266,0,,,
,,,,,,,307,0,,,
,,,,,,,307,307,,,
,,,,,,,69,0,,,
,,,,,,,266,0,,,
,,,,,,,307,307,,,
,,,,,,,205,0,,,
,,,,,,,307,0,,,
